condition,record,status,channel,old_gain,new_gain,valid_gains
"('earndb', 'N1', 1000, 100)",N1_evoked_raw_100_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 100)",N1_evoked_raw_100_F4_R1,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 100)",N1_evoked_raw_100_F4_R5,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 10)",N1_evoked_raw_10_F1_R1,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 10)",N1_evoked_raw_10_F1_R3,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 10)",N1_evoked_raw_10_F1_R5,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 10)",N1_evoked_raw_10_F1_R7,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 10)",N1_evoked_raw_10_F4_R1,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 10)",N1_evoked_raw_10_F4_R3,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 10)",N1_evoked_raw_10_F4_R7,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 15)",N1_evoked_raw_15_F1_R1,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 15)",N1_evoked_raw_15_F1_R5,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 1000, 15)",N1_evoked_raw_15_F1_R7,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 15)",N1_evoked_raw_15_F4_R3,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 15)",N1_evoked_raw_15_F4_R5,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N1', 4000, 15)",N1_evoked_raw_15_F4_R7,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
